customer_master_id,bu_id,engagement_id,customer_master_as_of_date_id,customer_account_cd,customer_account_name,customer_group,customer_physical_street_addr1,customer_physical_street_addr2,customer_physical_city,customer_physical_state_province,customer_physical_country,customer_physical_zip_code,customer_tax_id,customer_billing_address1,customer_billing_address2,customer_billing_city,customer_billing_state_province,customer_billing_country,customer_billing_zip_code,payment_terms_desc,payment_terms_days,bank_name,bank_account_no,beneficiary,active_ind,active_ind_change_date_id,credit_limit_curr_cd,transaction_credit_limit,overall_credit_limit,ey_related_party,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,approved_by_id,approved_by_date_id,ver_start_date_id,ver_end_date_id,ver_desc
0,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,EY_EMPTY,EY_EMPTY_CUSTOMER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,2,EY_UNKNOWN (0000000002),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
2,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,4,EY_UNKNOWN (0000000004),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
3,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,7,EY_UNKNOWN (0000000007),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
4,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,9,EY_UNKNOWN (0000000009),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
5,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,10,EY_UNKNOWN (0000000010),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
6,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,11,EY_UNKNOWN (0000000011),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
7,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,13,EY_UNKNOWN (0000000013),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
8,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,15,EY_UNKNOWN (0000000015),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
9,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,17,EY_UNKNOWN (0000000017),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
10,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,20,EY_UNKNOWN (0000000020),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
11,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,21,EY_UNKNOWN (0000000021),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
12,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,23,EY_UNKNOWN (0000000023),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
13,4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19000101,26,EY_UNKNOWN (0000000026),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,19000101,EY_NA,0,0,third party,0,19000101,0,0,19000101,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
